year,annual_operating_costs,asset_id,asset_domain,asset_type,scenario
2055,29.82954545454545,GS025,gas_network,gas_service,hybrid_gas
2056,29.82954545454545,GS025,gas_network,gas_service,hybrid_gas
2057,29.82954545454545,GS025,gas_network,gas_service,hybrid_gas
2058,29.82954545454545,GS025,gas_network,gas_service,hybrid_gas
2059,29.82954545454545,GS025,gas_network,gas_service,hybrid_gas
2060,29.82954545454545,GS025,gas_network,gas_service,hybrid_gas
2061,29.82954545454545,GS025,gas_network,gas_service,hybrid_gas
2062,29.82954545454545,GS025,gas_network,gas_service,hybrid_gas
2063,29.82954545454545,GS025,gas_network,gas_service,hybrid_gas
2064,29.82954545454545,GS025,gas_network,gas_service,hybrid_gas
2065,29.82954545454545,GS025,gas_network,gas_service,hybrid_gas
2020,24.147727272727277,GS024,gas_network,gas_service,hybrid_gas
2021,24.147727272727277,GS024,gas_network,gas_service,hybrid_gas
2022,24.147727272727277,GS024,gas_network,gas_service,hybrid_gas
2023,24.147727272727277,GS024,gas_network,gas_service,hybrid_gas
2024,24.147727272727277,GS024,gas_network,gas_service,hybrid_gas
2025,24.147727272727277,GS024,gas_network,gas_service,hybrid_gas
2026,24.147727272727277,GS024,gas_network,gas_service,hybrid_gas
2027,24.147727272727277,GS024,gas_network,gas_service,hybrid_gas
2028,24.147727272727277,GS024,gas_network,gas_service,hybrid_gas
2029,24.147727272727277,GS024,gas_network,gas_service,hybrid_gas
2030,24.147727272727277,GS024,gas_network,gas_service,hybrid_gas
2031,24.147727272727277,GS024,gas_network,gas_service,hybrid_gas
2032,24.147727272727277,GS024,gas_network,gas_service,hybrid_gas
2033,24.147727272727277,GS024,gas_network,gas_service,hybrid_gas
2034,24.147727272727277,GS024,gas_network,gas_service,hybrid_gas
2035,24.147727272727277,GS024,gas_network,gas_service,hybrid_gas
2036,24.147727272727277,GS024,gas_network,gas_service,hybrid_gas
2037,24.147727272727277,GS024,gas_network,gas_service,hybrid_gas
2038,24.147727272727277,GS024,gas_network,gas_service,hybrid_gas
2039,24.147727272727277,GS024,gas_network,gas_service,hybrid_gas
2040,24.147727272727277,GS024,gas_network,gas_service,hybrid_gas
2041,24.147727272727277,GS024,gas_network,gas_service,hybrid_gas
